"Id","Username","Password","FirstName","LastName","PhoneNumber","Email","IsReviewer","IsAdmin"
"1","PGorbag1261","lh#Qzg*!1291","Philip","Gorbag",,"PGorbag@mailbox.net","0","0"
"2","JSauron758","cGfv!K*fMCf4544","Janet","Sauron",,"JSauron95@bizmail.us","1","1"
"3","MLurtz9441","%tFavyB)5481","Madison","Lurtz","203-458-2608",,"0","1"
"4","NAnnatar57","%ik@^Xj^eJ5839","Nicholas","Annatar","505-639-2232","NAnnatar79@hotmail.biz","1","0"
"5","MElrohir99","*Aaf$i#*(8781","Mary","Elrohir","316-579-5103","MElrohir5@everymail.co.uk","0","1"
"6","STuor21","mrAubQ!G$5681","Sage","Tuor","201-694-4365",,"0","1"
"7","NButterbur25","x()cV){k1074","Nicole","Butterbur",,"Nicole.Butterbur85@hotmail.com","0","0"
"8","JElendil74","wyFrC{v!$up5244","Jack","Elendil","228-884-3955","JElendil55@gmail.us","0","0"
"9","DAlatar417","(rvm*(PFOz9852","Denise","Alatar","208-649-3952",,"1","0"
"10","HKili661","sDSJp^)3643","Harold","Kili","240-038-6676","HKili26@mailbox.co.uk","1","0"
"11","TBrandybuck75","@L@xD#$2212","Tyler","Brandybuck","513-274-8066","TBrandybuck99@mailbox.com","1","1"
"12","ZElrohir32","M^fSj(V4817","Zelda","Elrohir","203-794-9050","ZElrohir@everymail.net","1","1"
"13","VFinrod47","RXx(mjx3120","Valerie","Finrod","239-640-0425","Valerie.Finrod72@mailbox.co.uk","0","1"
"14","EGamgee4221","nB%f$LiM@)u8654","Erika","Gamgee","225-379-5799",,"0","0"
"15","JMablung2214","Vg)sLF2917","Josie","Mablung","203-567-1452",,"0","1"
"16","DGil-Galad24",")cdc@c8176","Dianna","Gil-Galad",,"DGil-Galad23@everymail.com","1","1"
"17","CButterbur34","Lpb)(ugUiy7667","Christina","Butterbur","308-484-8157","CButterbur48@yahoo.net","1","1"
"18","LLuthien5972","IsSoxq$$^x1248","Levi","Luthien","205-638-4148","LLuthien34@gmail.com","1","1"
"19","DCirdan31","dnC^Xfrly3647","Donna","Cirdan","212-260-2618","Donna.Cirdan@everymail.com","1","0"
"20","JGrahame5462","oUfAn!5891","Jewel","Grahame","603-911-4984","JGrahame@gmail.org","0","0"
"21","BButterbur8523","B*{guEi*o9499","Bobby","Butterbur",,"BButterbur97@yahoo.biz","1","1"
"22","LMelian438","$Abc%I5612","Lucas","Melian","218-340-4337",,"1","1"
"23","BWormtongue84","@%@oO{B8939","Barbara","Wormtongue",,"BWormtongue9@mail2u.org","0","0"
"24","EManwe578","du%Mwh{GYC6658","Ellie","Manwe","907-333-6403","EManwe77@hotmail.co.uk","1","0"
"25","SFinwe6614","ZCo^^q%5115","Steven","Finwe","803-388-0760","SFinwe47@yahoo.net","1","0"
"26","EArwen48","Tdwa!^Ldo#S7220","Erik","Arwen","210-415-5479","EArwen87@hotmail.net","1","0"
"27","MElladan831",")@J$#q2567","Molly","Elladan","701-418-2936","MElladan79@hotmail.us","1","1"
"28","LRadagast28","wutonohU@ou8453","Logan","Radagast","210-556-1872",,"0","0"
"29","ADamrod6389",")%h{(Y^z6441","Anna","Damrod",,"ADamrod91@hotmail.net","1","1"
"30","KDamrod1423","@zmydW7410","Kevin","Damrod","229-012-9843","KDamrod90@hotmail.com","0","0"
"31","MKementari58","s$vIud(#R)9402","Michael","Kementari","603-217-3571","MKementari10@everymail.us","0","1"
"32","MBracegirdle4525",")@iyydo#)6327","Madison","Bracegirdle","808-866-7612","MBracegirdle32@everymail.co.uk","1","0"
"33","ISandyman3278","zI^$KtL^b!7764","Ivy","Sandyman","702-388-0243","Ivy.Sandyman96@mailbox.biz","0","1"
"34","DThorondor3144","qlUO!qaDW1729","Dana","Thorondor","702-200-0394","DThorondor83@mail2u.org","0","1"
"35","JBolger1724","o@C)pq^9942","Jennifer","Bolger","201-561-0609","JBolger@everymail.org","0","0"
"36","KNori3978","U*fNzi@M3982","Kayla","Nori","907-750-2596","KNori6@everymail.co.uk","1","0"
"37","LAngrod284","gz(qhz!M5201","Lawrence","Angrod","231-119-6210","LAngrod@hotmail.biz","0","1"
"38","JSharku285","n(L!ffz*x^8306","Jaime","Sharku","480-516-6927","Jaime.Sharku@everymail.net","1","0"
"39","TThe Brown72","T@j@M@6017","Teresa","The Brown","209-836-4121","TTheBrown30@gmail.co.uk","1","0"
"40","NCotton153","%zai$P)k^dj9115","Niki","Cotton","201-309-0905",,"1","1"
"41","EAncalagon94","C!zLuU{oBm6156","Elijah","Ancalagon","239-364-7898","Elijah.Ancalagon1@everymail.us","1","1"
"42","AFinarfin98","ybOp^^z{%4914","Alan","Finarfin",,,"1","1"
"43","DOri213","g*$$X!hc(B6835","Doris","Ori",,"Doris.Ori@bizmail.biz","0","1"
"44","JPharazon4132","d!BO*z*6145","Jaime","Pharazon","207-859-7317","JPharazon12@everymail.co.uk","1","1"
"45","AGrahame713","rz!PIE6417","Andrea","Grahame","302-048-2676","AGrahame26@bizmail.biz","1","0"
"46","SIlluvatar129","){i%et8225","Sophie","Illuvatar","316-360-9725","SIlluvatar53@somemail.net","1","0"
"47","AFaramir8266","bsBBh^s4302","Anthony","Faramir","239-057-1772","Anthony.Faramir87@mailbox.org","0","1"
"48","NBeregond56","!@!aiH4325","Niki","Beregond","314-932-8949","NBeregond26@hotmail.us","0","0"
"49","APollando4346","l%F%X^d%i2172","Adrianna","Pollando",,"APollando97@hotmail.us","0","0"
"50","KGollum1371","gvmVkqdM*g4455","Kevin","Gollum","240-426-2041","Kevin.Gollum25@gmail.co.uk","1","1"
"51","RHurin7971","EjKsrfzd)f5921","Raven","Hurin","239-983-1562","RHurin59@mailbox.org","0","1"
"52","HGorbag99","^oHjqy$cKNC3379","Heidi","Gorbag","201-827-0384",,"0","0"
"53","AShelob216","((e@h*ox$2114","Andrea","Shelob","206-273-1741","AShelob61@everymail.net","1","1"
"54","SShelob89","j$QeTuBs(yb6444","Shelby","Shelob","205-375-8114","SShelob@mailbox.biz","1","1"
"55","EHalbarad596","vyN(ifHhY7258","Emma","Halbarad","701-516-3315","EHalbarad@yahoo.co.uk","1","1"
"56","LPalantir721","n#g^tVpA*tc6653","Larry","Palantir",,"LPalantir10@gmail.biz","0","1"
"57","LAnnatar159","jZ!)%jR^2343","Lucy","Annatar","207-977-9750","LAnnatar66@yahoo.biz","1","1"
"58","SMaeglin3699","Z{fgh^Za!bT6752","Sean","Maeglin","229-530-2227","SMaeglin14@bizmail.net","0","0"
"59","JQuickbeam71",")rmY(W9410","Jamie","Quickbeam","228-361-5305","JQuickbeam5@mail2u.org","1","0"
"60","HBaggins528","$t!MR*m3191","Heather","Baggins",,"HBaggins80@yahoo.co.uk","0","0"
"61","EFelagund239","#nX)!n2678","Evelyn","Felagund",,,"1","1"
"62","LDurin455","@Ltz#xf(K9663","Laura","Durin","605-760-1508","Laura.Durin@yahoo.biz","0","1"
"63","AGildor316","eO{*(qg4979","Aaron","Gildor","505-498-4812","AGildor66@bizmail.biz","1","0"
"64","MCurufin2822","xefDt#%lvhn3672","Mason","Curufin","239-587-2553","MCurufin58@bizmail.com","1","1"
"65","DAlatar511",")zbbfF{dT#t8892","Danica","Alatar","304-028-9095","DAlatar66@bizmail.org","0","1"
"66","LCirdan839","bwk$^hl)*6633","Laura","Cirdan","229-215-7941",,"0","1"
"67","DHuan4191","yaJ@ztr4616","Dale","Huan","458-613-1950","DHuan76@somemail.org","1","0"
"68","ABrandybuck6272","c#(^g$iRw1549","Amber","Brandybuck",,"ABrandybuck88@mailbox.co.uk","0","1"
"69","WThranduil73","GA(%E)aR@7746","Wayne","Thranduil","212-915-5864","WThranduil60@hotmail.co.uk","0","1"
"70","AGil-Galad49","ayboG*Ltzt8005","Ashley","Gil-Galad","217-237-9013","Ashley.Gil-Galad70@bizmail.org","0","0"
"71","ABifur43","jyq*hogI6731","Anna","Bifur",,"ABifur10@hotmail.biz","0","0"
"72","MBregolas56","Mw(ue*A1479","Miranda","Bregolas","215-496-7300","Miranda.Bregolas19@everymail.org","0","0"
"73","CThingol189","z)s$(g!!7769","Christopher","Thingol","308-296-1274",,"1","0"
"74","EMelkor3661","bh@v@Pz3492","Evie","Melkor","208-606-6565","EMelkor@hotmail.co.uk","1","0"
