"Id","Username","Password","FirstName","LastName","PhoneNumber","Email","IsReviewer","IsAdmin"
"1","KBolger177","fA(WGh$(s8444","Kai","Bolger","401-506-9875",,"1","0"
"2","NLegolas426","fj@GIdFri#5369","Nicholas","Legolas","215-621-9406","NLegolas@yahoo.com","0","0"
"3","BElrohir871","u%yJ(cr1203","Brandon","Elrohir",,"BElrohir35@gmail.us","1","0"
"4","DLurtz25","eDCp$%V@um8125","Donna","Lurtz","201-608-3161","DLurtz50@bizmail.us","1","1"
"5","DDeagol2326","^fUT#p@%p3937","Denise","Deagol","401-801-2449","DDeagol33@somemail.com","1","1"
"6","ANazgul511","*$RJ^#$3879","Angela","Nazgul","505-877-7902","ANazgul@everymail.co.uk","0","1"
"7","WFelagund49","M^yD@)8252","Wayne","Felagund","307-226-8751","WFelagund38@mail2u.biz","0","1"
"8","KAnarion51","rhobrySv@J!8850","Kathryn","Anarion","480-644-5771","Kathryn.Anarion82@yahoo.co.uk","1","1"
"9","JMelkor445","p#bsU*#M6442","Jennifer","Melkor","203-165-1291","JMelkor41@hotmail.org","1","1"
"10","SAragorn137","jH$**U6686","Scott","Aragorn","302-065-1759","SAragorn56@everymail.co.uk","1","1"
"11","MBaggins6839","ovxaw#gX8273","Mary","Baggins","316-180-1263",,"1","0"
"12","KWormtongue5916","eoXpU!Uthz8777","Kathleen","Wormtongue","217-445-2523","Kathleen.Wormtongue20@everymail.co.uk","1","0"
"13","NAnarion671","CW{*Kr7976","Nicholas","Anarion","808-248-3766","NAnarion81@hotmail.com","0","0"
"14","MSulimo235","E$(lPz$2780","Megan","Sulimo","262-960-1877","Megan.Sulimo82@yahoo.com","0","1"
"15","LElentari499","oXkse!Y)a4974","Logan","Elentari",,"LElentari57@everymail.org","1","0"
"16","BThorondor175","GP$K#cvE#g1780","Bobby","Thorondor","217-390-9367",,"0","0"
"17","CPollando211","#Roldm)6999","Claudia","Pollando","231-227-4836",,"1","1"
"18","EAnnatar415","{szIg*tveD1906","Erik","Annatar","808-818-9460",,"1","0"
"19","CNesa761","*UA$j*md9809","Chloe","Nesa","423-521-9616",,"1","1"
"20","MStormcrow98","%leBaa5479","Margaret","Stormcrow","339-429-2053",,"1","0"
"21","IEarendil4811","S^xFwmJt#9987","Ivy","Earendil","262-533-9834","IEarendil@everymail.co.uk","0","1"
"22","PBarahir87","S^%^)%bysy7321","Pamela","Barahir","208-876-1801","PBarahir@mailbox.net","0","1"
"23","GUngoliant86","Dj##!da{vSm9549","George","Ungoliant",,"GUngoliant80@mailbox.org","0","0"
"24","LQuickbeam581","*zpdt%)$lqJ9999","Lara","Quickbeam","803-868-6890","Lara.Quickbeam@everymail.org","1","0"
"25","IIsildur6275","eNc%gMq$1860","Isaiah","Isildur","209-794-6896","IIsildur@everymail.org","0","0"
"26","JUlmo87","bchp!AboKD1077","Julia","Ulmo","210-381-1404","JUlmo1@hotmail.us","1","1"
"27","DSmeagol8489","%s#dw@(n{zS2417","Delilah","Smeagol","803-637-9342","DSmeagol32@gmail.com","1","0"
"28","DPalantir68","(uR)*@%3972","Donna","Palantir",,"DPalantir29@bizmail.biz","1","1"
"29","JQuickbeam789","%zFa*tiomg)1450","Juliet","Quickbeam","252-251-3215",,"1","0"
"30","MTurin312","pQ#iiChdm6088","Marishka","Turin","209-565-9585","MTurin64@mailbox.co.uk","0","0"
"31","SBaggins597","%Y!Ka^8951","Shelby","Baggins","208-022-6250","SBaggins91@yahoo.co.uk","1","1"
"32","VHurin2989","u$nI*s^dr$%9125","Vivianna","Hurin",,"VHurin@somemail.net","0","1"
"33","TGrahame12","^HfBzr^l4575","Tyler","Grahame",,,"0","0"
"34","ADwalin45","WncaJ)4087","Aaron","Dwalin",,"ADwalin14@mailbox.biz","1","0"
"35","GKhamul66","rTS*!Jszei1412","Gary","Khamul","209-485-0383","GKhamul@yahoo.us","0","1"
"36","ANienna6366","@yXvCh@2126","Anthony","Nienna","423-218-1488","Anthony.Nienna92@gmail.us","1","1"
"37","MShagrat52","kMQQuFA)#7113","Monica","Shagrat","308-905-4746","MShagrat97@mail2u.org","1","1"
"38","GDurin997","IMFm%#$8661","Gerald","Durin",,"GDurin@yahoo.biz","0","1"
"39","BElfhelm452","D%pPV*oiciq2168","Brenda","Elfhelm","217-047-9782","BElfhelm@bizmail.com","1","1"
"40","JTurambar438","((t#*G4351","Joshua","Turambar","205-454-7886","JTurambar89@hotmail.us","1","1"
"41","AAlatar7857","ypoaAd$r4815","Alan","Alatar","505-974-9360","AAlatar2@mailbox.org","1","1"
"42","FAnnatar5699","$#iC!g{wTk7838","Freya","Annatar","219-592-7310","Freya.Annatar@gmail.net","0","1"
"43","ALurtz94","%^eZtz5979","Adrianna","Lurtz",,"ALurtz@gmail.us","0","1"
"44","KPollando48","f)!#uS3333","Karl","Pollando","229-141-6163","KPollando33@gmail.org","1","0"
"45","LBolger394","k)s$n$Krux4065","Larissa","Bolger","316-564-3916","LBolger1@somemail.org","1","1"
"46","MDurin99","dKmxUf({7576","Melinda","Durin","406-966-4299",,"1","1"
"47","MAmrod4221","!%*t{a2889","Michaela","Amrod",,"Michaela.Amrod@mail2u.net","1","1"
"48","EEru3129","Qo)ixl!yR5286","Ellen","Eru","302-136-5407","Ellen.Eru15@everymail.com","0","1"
"49","JProudfoot23","rky*)s*rwo*6229","Jacqueline","Proudfoot","229-588-1590","JProudfoot34@somemail.org","0","0"
"50","MIsildur573","R)y)#u6589","Melanie","Isildur","319-643-0957","MIsildur61@hotmail.us","0","0"
"51","AOlorin58","Cd*wMqVYv6531","Audrey","Olorin","228-085-0491","Audrey.Olorin52@hotmail.org","1","0"
"52","KDori894","gUIukr^3007","Katie","Dori","217-823-0857","KDori58@yahoo.biz","1","0"
"53","JButterbur96","@@Te^KNx4816","Jack","Butterbur","228-574-8328","JButterbur8@mailbox.biz","1","0"
"54","SWormtongue24","r*k*bDDst7271","Shirley","Wormtongue","803-877-3527","Shirley.Wormtongue8@gmail.us","1","0"
"55","CTuor929","bN*Gfv@8366","Chelsea","Tuor","207-918-5351","CTuor@mail2u.co.uk","1","0"
"56","STuor2517","^g@%Rw#r@w4970","Savannah","Tuor","423-674-0447","STuor94@yahoo.us","1","0"
"57","VWormtongue193","IrfrO^6846","Valerie","Wormtongue","205-053-7466","Valerie.Wormtongue@mailbox.us","1","0"
"58","AEcthelion7597","xK!p(Mx7601","Alexander","Ecthelion",,"AEcthelion@everymail.us","1","1"
"59","BBeregond979","!CXFZkai%*7819","Barbara","Beregond",,"BBeregond57@gmail.co.uk","1","0"
"60","AManwe378","wbtY*sxtkKC7112","Averie","Manwe","802-635-7686","Averie.Manwe48@yahoo.biz","1","0"
"61","LSackville318","$vP*ll1439","Lexie","Sackville","307-115-0427","LSackville72@bizmail.biz","0","1"
"62","CManwe23","jqmgLvbc%T#7059","Christina","Manwe","218-657-1647",,"0","0"
"63","SGothmog328","jYsz(R)d7511","Sophie","Gothmog",,,"0","1"
"64","JBaggins796","#Du){w$d1490","Jaime","Baggins",,"Jaime.Baggins@gmail.org","0","0"
"65","CHamfast263","n%eMI{*Nb6595","Cynthia","Hamfast","480-825-2681","CHamfast@hotmail.co.uk","0","0"
"66","MSandyman66","R#uuzv#j4074","Monica","Sandyman","304-459-4685","Monica.Sandyman89@gmail.org","0","0"
"67","SDamrod38","Dx{{xsg$Aw2059","Steven","Damrod","240-176-0685","SDamrod33@mailbox.co.uk","1","1"
"68","CPharazon7871","Ly%*uLfyyyw3280","Cassandra","Pharazon",,,"0","0"
"69","MYavanna999","sxa^d$lZy8453","Melanie","Yavanna","207-515-2190","Melanie.Yavanna@mailbox.net","1","0"
"70","STook16","wa^{Vt^v(q2703","Sharon","Took",,"STook79@mail2u.us","1","0"
"71","COakenshield56","MoE^nsC!5508","Clarence","Oakenshield","479-993-6549",,"1","1"
"72","TDamrod98","pc^mRz*Vf$i9700","Terry","Damrod","802-920-6539","TDamrod64@hotmail.biz","1","1"
"73","AFili8383","d{{rn(h{Uk3573","Alyssa","Fili","308-820-5104",,"0","1"
"74","FPalantir45","wv{mPwpz%fG1227","Frank","Palantir","401-021-3938","Frank.Palantir48@somemail.net","1","1"
"75","FBracegirdle2632","Nmy(ed{zr7677","Frances","Bracegirdle","405-456-9270",,"0","0"
"76","HFinwe423","rcQ(Nbq5827","Heidi","Finwe","605-723-7459",,"1","0"
"77","BGil-Galad92","ivbCOtuTe#G4588","Beverly","Gil-Galad","307-354-3552",,"0","1"
"78","ALuthien7113","LbSTl)t8366","Alan","Luthien",,"ALuthien80@everymail.net","1","0"
"79","AEomer57","w#*Rx@ujyE2834","Adam","Eomer",,"AEomer86@mail2u.com","1","0"
"80","GThranduil793","oTei^@owZ9696","Gary","Thranduil",,"GThranduil27@hotmail.com","0","0"
"81","ALegolas2917","Uf*Ke**odm7923","Autumn","Legolas","458-675-2147","Autumn.Legolas@mailbox.biz","0","0"
"82","HEomer9563","!GcpB*y7509","Henry","Eomer",,"HEomer84@somemail.co.uk","0","0"
"83","DPollando7824","@twk!f5713","Doris","Pollando",,"DPollando@somemail.com","0","1"
"84","DCotton325","IqD^M$bn%2582","Daniel","Cotton","859-578-1056","DCotton34@yahoo.org","1","0"
"85","JHuan229","axydS)5840","James","Huan","207-247-4160","JHuan35@yahoo.co.uk","1","1"
"86","AFelagund451","or^Zaoq$mA7871","Ann","Felagund","252-447-5442","AFelagund59@gmail.com","0","0"
"87","LElrond2772","LYBk@p^3440","Levi","Elrond","208-234-4448","LElrond@everymail.co.uk","1","1"
"88","DLuthien68","*d*gN(or7362","Daniel","Luthien","276-210-9849",,"1","1"
"89","DShelob464","lDi%%Llr*$d5521","Donna","Shelob",,"Donna.Shelob70@everymail.net","0","0"
"90","EImrahil4363","MV@!%){jrqb2928","Emily","Imrahil","217-853-2529","EImrahil@bizmail.us","0","1"
"91","KAmrod182","jwEX@f8005","Keith","Amrod","605-755-8068","KAmrod@hotmail.com","0","0"
"92","TMelian142","h^ujHIdib()6510","Tiffany","Melian","803-859-9586","TMelian77@somemail.biz","0","1"
"93","JElladan98","X!@cj%zt(w5895","Joan","Elladan","319-694-0556",,"1","1"
"94","WGrahame6727","zf*^#E^I%5128","Walter","Grahame","605-346-6586",,"1","0"
"95","ABaggins813","xbjT@gGs@5060","Ana","Baggins","458-024-8749","ABaggins@yahoo.biz","0","0"
"96","CBeregond58","{D$u)g*%vhq9633","Christopher","Beregond","513-053-0462","Christopher.Beregond75@everymail.com","1","1"
"97","JTulkas49","Pd$)%$tNnH3490","Jackson","Tulkas","240-904-2879","JTulkas74@mail2u.us","0","1"
"98","KEowyn78","Gpy#%((u4125","Kevin","Eowyn","423-062-8599",,"0","1"
"99","BEcthelion33","^(!vq^{Y5490","Brian","Ecthelion","218-732-7888","BEcthelion24@hotmail.org","0","0"
"100","JDurin566","zjA@!B@6888","Jackson","Durin","314-707-1656","JDurin38@mail2u.biz","1","1"
